Year,City,State,Team Name,Arena Cost (millions),Year of Arena Construction,Arena Capacity,Revenue(Millions),Operating Income(Millions),Player Expenses,Ticket Revenue,Win/Loss %
2014/15,Miami ,Florida,Miami Heat,213,1999,19600,180,20.8,89,67,0.451
2015/16,Miami ,Florida,Miami Heat,213,1999,19600,210,21.1,104,75,0.585
2016/17,Miami ,Florida,Miami Heat,213,1999,19600,253,63,104,68,0.5
2017/18,Miami ,Florida,Miami Heat,213,1999,19600,259,40,131,76,0.537
2018/19,Miami ,Florida,Miami Heat,213,1999,19600,294,58,144,70,0.476
2019/20,Miami ,Florida,Miami Heat,213,1999,19600,266,38,126,56,0.603
2020/21,Miami ,Florida,Miami Heat,213,1999,19600,218,16,112,16,0.556
2021/22,Miami ,Florida,Miami Heat,213,1999,19600,326,83,138,111,0.646
2022/23,Miami ,Florida,Miami Heat,213,1999,19600,371,108,161,106,0.537
2001/02,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",67,-8.5,56,,0.5
2002/03,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",70,-15.1,62,,0.512
2003/04,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",77,-1.5,57,,0.5
2004/05,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",78,4.8,61,,0.366
2005/06,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",87,1.5,67,,0.488
2006/07,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",88,1.7,68,,0.341
2007/08,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",94,5.4,66,,0.317
2008/09,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",91,-7.4,75,,0.415
2009/10,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",92,-2,69,,0.561
2010/11,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",92,-7.6,66,19,0.427
2011/12,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",87,-0.5,54,14,0.47
2012/13,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",109,11.5,68,21,0.463
2013/14,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",110,11.5,69,17,0.183
2014/15,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",126,11.6,71,24,0.5
2015/16,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",146,24,80,25,0.402
2016/17,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",179,20,109,28,0.512
2017/18,Milwaukee,Wisconsin,Milwaukee Bucks,91,1988,"18,633",204,25,127,35,0.537
2018/19,Milwaukee,Wisconsin,Milwaukee Bucks,1200,2018,17500,283,69,126,65,0.732
2019/20,Milwaukee,Wisconsin,Milwaukee Bucks,1200,2018,17500,239,27,125,46,0.767
2020/21,Milwaukee,Wisconsin,Milwaukee Bucks,1200,2018,17500,212,11,121,26,0.639
2021/22,Milwaukee,Wisconsin,Milwaukee Bucks,1200,2018,17500,352,51,151,85,0.622
2022/23,Milwaukee,Wisconsin,Milwaukee Bucks,1200,2018,17500,329,-36,188,50,0.707
2001/02,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,85,8.8,8.8,,0.61
2002/03,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,85,6.9,6.9,,0.622
2003/04,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,97,-5,-5,,0.707
2004/05,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,101,-20,-20,,0.537
2005/06,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,103,4.6,4.6,,0.402
2006/07,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,103,-1.9,-1.9,,0.39
2007/08,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,100,-5.7,-5.7,,0.268
2008/09,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,96,-6.8,-6.8,,0.293
2009/10,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,95,-6.7,-6.7,,0.183
2010/11,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,97,-6.8,-6.8,13,0.207
2011/12,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,96,-4.5,-4.5,16,0.394
2012/13,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,116,-2.7,-2.7,18,0.378
2013/14,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,128,6.9,6.9,16,0.488
2014/15,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,146,15.1,15.1,19,0.195
2015/16,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,154,25.9,25.9,19,0.354
2016/17,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,204,53,53,23,0.378
2017/18,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,223,47,47,36,0.573
2018/19,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,234,46,46,33,0.439
2019/20,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,214,32,32,24,0.297
2020/21,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,199,29,29,,0.319
2021/22,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,271,87,87,44,0.561
2022/23,Minnesota,Minnesota,Minnesota Timberwolves,104,1990,18978,259,47,47,39,0.512
2002/03,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,80,21.9,48,,0.573
2003/04,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,80,-3.9,52,,0.5
2004/05,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,78,17.1,56,,0.22
2005/06,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,83,12.9,45,,0.463
2006/07,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,91,10.2,58,,0.476
2007/08,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,95,3.2,66,,0.683
2008/09,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,95,-0.1,68,,0.598
2009/10,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,100,-5.9,74,,0.451
2010/11,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,109,-2.7,73,28,0.561
2011/12,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,100,3.3,59,22,0.318
2012/13,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,116,11.2,70,25,0.329
2013/14,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,131,19,74,27,0.415
2014/15,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,142,19.7,80,30,0.549
2015/16,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,156,16.7,93,29,0.366
2016/17,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,204,37,117,30,0.415
2017/18,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,214,29,133,38,0.585
2018/19,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,224,49,127,33,0.402
2019/20,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,209,44,111,28,0.417
2020/21,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,181,24,109,3,0.431
2021/22,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,268,94,121,47,0.439
2022/23,New Orleans,Louisiana,New Orleans Pelicans,114,1999,16867,262,57,154,39,0.512
2001/02,New York,New York,New York Knicks,123,1968,19812,156,25.1,86,,0.366
2002/03,New York,New York,New York Knicks,123,1968,19812,160,13.5,80,,0.451
2003/04,New York,New York,New York Knicks,123,1968,19812,170,25.2,96,,0.476
2004/05,New York,New York,New York Knicks,123,1968,19812,181,-14.3,100,,0.402
2005/06,New York,New York,New York Knicks,123,1968,19812,185,-39,118,,0.28
2006/07,New York,New York,New York Knicks,123,1968,19812,196,-42.2,121,,0.402
2007/08,New York,New York,New York Knicks,123,1968,19812,208,29.6,100,,0.28
2008/09,New York,New York,New York Knicks,123,1968,19812,202,21,97,,0.39
2009/10,New York,New York,New York Knicks,123,1968,19812,226,64,86,,0.354
2010/11,New York,New York,New York Knicks,123,1968,19812,244,74.9,74,92,0.512
2011/12,New York,New York,New York Knicks,123,1968,19812,243,83.2,68,94,0.545
2012/13,New York,New York,New York Knicks,123,1968,19812,287,96.3,89,125,0.659
2013/14,New York,New York,New York Knicks,123,1968,19812,278,53.4,95,119,0.451
2014/15,New York,New York,New York Knicks,123,1968,19812,307,108.9,88,128,0.207
2015/16,New York,New York,New York Knicks,123,1968,19812,376,141.2,86,130,0.39
2016/17,New York,New York,New York Knicks,123,1968,19812,426,140,117,130,0.378
2017/18,New York,New York,New York Knicks,123,1968,19812,443,155,115,127,0.354
2018/19,New York,New York,New York Knicks,123,1968,19812,472,157,134,132,0.207
2019/20,New York,New York,New York Knicks,123,1968,19812,421,178,103,108,0.318
2020/21,New York,New York,New York Knicks,123,1968,19812,298,71,87,18,0.569
2021/22,New York,New York,New York Knicks,123,1968,19812,452,155,111,133,0.451
2022/23,New York,New York,New York Knicks,123,1968,19812,504,169,156,154,0.573
2001/02,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,77,6.3,46,,0.549
2002/03,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,70,2.4,56,,0.488
2003/04,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,73,-7.8,55,,0.451
2004/05,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,81,0.5,57,,0.634
2005/06,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,81,3.6,53,,0.427
2006/07,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,81,-5.7,61,,0.378
2007/08,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,82,-9.4,65,,0.244
2008/09,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,111,12.7,73,,0.28
2009/10,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,118,22.6,62,,0.61
2010/11,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,126,24.5,60,48,0.671
2011/12,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,127,29.9,54,43,0.712
2012/13,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,144,33.3,74,49,0.732
2013/14,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,152,30.8,78,54,0.72
2014/15,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,157,20.9,87,48,0.549
2015/16,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,187,-8.4,122,59,0.671
2016/17,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,222,64,102,57,0.573
2017/18,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,241,10,146,60,0.585
2018/19,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,258,-23,162,63,0.598
2019/20,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,236,51,123,52,0.611
2020/21,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,183,48,91,,0.306
2021/22,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,274,129,77,45,0.293
2022/23,Oklahoma City,Oklahoma,Oklahoma City Thunder,89.2,2002,18203,267,49,154,47,0.488
2001/02,Orlando,Florida,Orlando Magic,110,1989,"17,461",82,82,47,,0.537
2002/03,Orlando,Florida,Orlando Magic,110,1989,"17,461",80,80,54,,0.512
2003/04,Orlando,Florida,Orlando Magic,110,1989,"17,461",78,78,54,,0.256
2004/05,Orlando,Florida,Orlando Magic,110,1989,"17,461",82,82,71,,0.439
2005/06,Orlando,Florida,Orlando Magic,110,1989,"17,461",89,89,79,,0.439
2006/07,Orlando,Florida,Orlando Magic,110,1989,"17,461",92,92,65,,0.488
2007/08,Orlando,Florida,Orlando Magic,110,1989,"17,461",100,100,62,,0.634
2008/09,Orlando,Florida,Orlando Magic,110,1989,"17,461",107,107,74,,0.72
2009/10,Orlando,Florida,Orlando Magic,110,1989,"17,461",108,108,86,,0.72
2010/11,Orlando,Florida,Orlando Magic,480,2010,18846,140,140,95,43,0.634
2011/12,Orlando,Florida,Orlando Magic,480,2010,18846,126,126,76,35,0.561
2012/13,Orlando,Florida,Orlando Magic,480,2010,18846,139,139,91,39,0.244
2013/14,Orlando,Florida,Orlando Magic,480,2010,18846,143,143,86,34,0.28
2014/15,Orlando,Florida,Orlando Magic,480,2010,18846,143,143,66,34,0.305
2015/16,Orlando,Florida,Orlando Magic,480,2010,18846,166,166,73,36,0.427
2016/17,Orlando,Florida,Orlando Magic,480,2010,18846,211,211,119,35,0.354
2017/18,Orlando,Florida,Orlando Magic,480,2010,18846,223,223,108,35,0.305
2018/19,Orlando,Florida,Orlando Magic,480,2010,18846,244,244,120,43,0.512
2019/20,Orlando,Florida,Orlando Magic,480,2010,18846,218,218,122,33,0.452
2020/21,Orlando,Florida,Orlando Magic,480,2010,18846,188,188,110,5,0.292
2021/22,Orlando,Florida,Orlando Magic,480,2010,18846,272,272,111,38,0.268
2022/23,Orlando,Florida,Orlando Magic,480,2010,18846,261,261,132,44,0.415
2001/02,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,106,18.1,53,,0.524
2002/03,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,109,2,61,,0.585
2003/04,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,107,0.7,63,,0.402
2004/05,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,110,7.2,70,,0.524
2005/06,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,110,-6.2,78,,0.463
2006/07,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,112,-2.8,75,,0.427
2007/08,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,116,0.3,78,,0.488
2008/09,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,115,7.6,70,,0.5
2009/10,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,110,-1.2,69,,0.329
2010/11,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,116,-10.3,73,26,0.5
2011/12,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,107,-0.8,60,26,0.53
2012/13,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,117,-3.8,83,27,0.415
2013/14,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,125,24.4,60,22,0.232
2014/15,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,124,13.9,60,21,0.22
2015/16,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,140,18.2,73,23,0.122
2016/17,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,184,40,89,26,0.341
2017/18,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,268,68,105,59,0.634
2018/19,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,300,90,117,71,0.622
2019/20,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,259,51,120,48,0.589
2020/21,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,236,13,128,13,0.681
2021/22,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,345,87,143,83,0.622
2022/23,Philadelphia,Pennsylvania,Philadelphia 76ers,210,1996,20478,371,120,161,122,0.659
2001/02,Phoenix,Arizona,Phoenix Suns,89,1992,17071,107,18.3,56,,0.439
2002/03,Phoenix,Arizona,Phoenix Suns,89,1992,17071,109,21.5,58,,0.537
2003/04,Phoenix,Arizona,Phoenix Suns,89,1992,17071,111,40.4,66,,0.354
2004/05,Phoenix,Arizona,Phoenix Suns,89,1992,17071,132,20.1,48,,0.756
2005/06,Phoenix,Arizona,Phoenix Suns,89,1992,17071,132,34.5,57,,0.659
2006/07,Phoenix,Arizona,Phoenix Suns,89,1992,17071,145,37.3,66,,0.744
2007/08,Phoenix,Arizona,Phoenix Suns,89,1992,17071,148,28.9,72,,0.671
2008/09,Phoenix,Arizona,Phoenix Suns,89,1992,17071,148,20.7,80,,0.561
2009/10,Phoenix,Arizona,Phoenix Suns,89,1992,17071,147,20.4,69,,0.659
2010/11,Phoenix,Arizona,Phoenix Suns,89,1992,17071,136,13.1,71,40,0.488
2011/12,Phoenix,Arizona,Phoenix Suns,89,1992,17071,121,13,60,28,0.5
2012/13,Phoenix,Arizona,Phoenix Suns,89,1992,17071,137,28.2,65,32,0.305
2013/14,Phoenix,Arizona,Phoenix Suns,89,1992,17071,145,28.2,70,33,0.585
2014/15,Phoenix,Arizona,Phoenix Suns,89,1992,17071,154,21.8,76,35,0.476
2015/16,Phoenix,Arizona,Phoenix Suns,89,1992,17071,173,26.3,85,36,0.28
2016/17,Phoenix,Arizona,Phoenix Suns,89,1992,17071,218,31,96,36,0.293
2017/18,Phoenix,Arizona,Phoenix Suns,89,1992,17071,235,47,97,36,0.256
2018/19,Phoenix,Arizona,Phoenix Suns,89,1992,17071,246,42,115,34,0.232
2019/20,Phoenix,Arizona,Phoenix Suns,89,1992,17071,222,20,112,30,0.466
2020/21,Phoenix,Arizona,Phoenix Suns,89,1992,17071,206,15,107,25,0.708
2021/22,Phoenix,Arizona,Phoenix Suns,89,1992,17071,302,87,108,76,0.78
2022/23,Phoenix,Arizona,Phoenix Suns,89,1992,17071,366,15,179,78,0.549
2001/02,Portland,Oregon,Portland Trail Blazers,262,1995,19441,96,-22.8,84,,0.598
2002/03,Portland,Oregon,Portland Trail Blazers,262,1995,19441,97,-85.1,100,,0.61
2003/04,Portland,Oregon,Portland Trail Blazers,262,1995,19441,88,-31.5,74,,0.5
2004/05,Portland,Oregon,Portland Trail Blazers,262,1995,19441,78,-47,87,,0.329
2005/06,Portland,Oregon,Portland Trail Blazers,262,1995,19441,77,-15.2,66,,0.256
2006/07,Portland,Oregon,Portland Trail Blazers,262,1995,19441,82,-25.1,82,,0.39
2007/08,Portland,Oregon,Portland Trail Blazers,262,1995,19441,114,-0.9,73,,0.5
2008/09,Portland,Oregon,Portland Trail Blazers,262,1995,19441,121,-20.3,87,,0.659
2009/10,Portland,Oregon,Portland Trail Blazers,262,1995,19441,127,10.7,64,,0.61
2010/11,Portland,Oregon,Portland Trail Blazers,262,1995,19441,132,-8.1,76,43,0.585
2011/12,Portland,Oregon,Portland Trail Blazers,262,1995,19441,117,-10.1,70,31,0.424
2012/13,Portland,Oregon,Portland Trail Blazers,262,1995,19441,140,30,63,39,0.402
2013/14,Portland,Oregon,Portland Trail Blazers,262,1995,19441,153,11.7,88,44,0.659
2014/15,Portland,Oregon,Portland Trail Blazers,262,1995,19441,157,4.1,94,42,0.622
2015/16,Portland,Oregon,Portland Trail Blazers,262,1995,19441,178,41.2,72,45,0.537
2016/17,Portland,Oregon,Portland Trail Blazers,262,1995,19441,223,25,128,47,0.5
2017/18,Portland,Oregon,Portland Trail Blazers,262,1995,19441,246,40,136,49,0.598
2018/19,Portland,Oregon,Portland Trail Blazers,262,1995,19441,287,51,143,67,0.646
2019/20,Portland,Oregon,Portland Trail Blazers,262,1995,19441,240,27,133,48,0.473
2020/21,Portland,Oregon,Portland Trail Blazers,262,1995,19441,201,19,110,6,0.583
2021/22,Portland,Oregon,Portland Trail Blazers,262,1995,19441,291,81,134,54,0.329
2022/23,Portland,Oregon,Portland Trail Blazers,262,1995,19441,300,65,156,59,0.402
2001/02,Sacramento,California,Sacramento Kings,40,1985,"17,317",102,13.5,55,,0.744
2002/03,Sacramento,California,Sacramento Kings,40,1985,"17,317",102,-16.8,73,,0.72
2003/04,Sacramento,California,Sacramento Kings,40,1985,"17,317",118,10,72,,0.671
2004/05,Sacramento,California,Sacramento Kings,40,1985,"17,317",119,0.6,64,,0.61
2005/06,Sacramento,California,Sacramento Kings,40,1985,"17,317",126,16.4,67,,0.537
2006/07,Sacramento,California,Sacramento Kings,40,1985,"17,317",128,20.5,68,,0.402
2007/08,Sacramento,California,Sacramento Kings,40,1985,"17,317",117,7,67,,0.463
2008/09,Sacramento,California,Sacramento Kings,40,1985,"17,317",109,-2.8,72,,0.207
2009/10,Sacramento,California,Sacramento Kings,40,1985,"17,317",103,-9.8,72,,0.305
2010/11,Sacramento,California,Sacramento Kings,40,1985,"17,317",104,6.4,50,23,0.293
2011/12,Sacramento,California,Sacramento Kings,40,1985,"17,317",96,2.6,45,18,0.333
2012/13,Sacramento,California,Sacramento Kings,40,1985,"17,317",115,12.5,61,19,0.341
2013/14,Sacramento,California,Sacramento Kings,40,1985,"17,317",125,8.9,69,27,0.341
2014/15,Sacramento,California,Sacramento Kings,40,1985,"17,317",141,4.2,81,29,0.354
2015/16,Sacramento,California,Sacramento Kings,40,1985,"17,317",164,18.4,84,31,0.402
2016/17,Sacramento,California,Sacramento Kings,558.2,2016,17583,240,50,109,51,0.39
2017/18,Sacramento,California,Sacramento Kings,558.2,2016,17583,263,72,103,51,0.329
2018/19,Sacramento,California,Sacramento Kings,558.2,2016,17583,286,81,107,60,0.476
2019/20,Sacramento,California,Sacramento Kings,558.2,2016,17583,245,45,100,45,0.431
2020/21,Sacramento,California,Sacramento Kings,558.2,2016,17583,192,25,79,3,0.431
2021/22,Sacramento,California,Sacramento Kings,558.2,2016,17583,279,29,141,60,0.366
2022/23,Sacramento,California,Sacramento Kings,558.2,2016,17583,289,36,145,70,0.585
2001/02,San Antonio,Texas,San Antonio Spurs,186,2002,18418,83,8.3,46,,0.707
2002/03,San Antonio,Texas,San Antonio Spurs,186,2002,18418,105,18.5,56,,0.732
2003/04,San Antonio,Texas,San Antonio Spurs,186,2002,18418,108,23.7,50,,0.695
2004/05,San Antonio,Texas,San Antonio Spurs,186,2002,18418,121,26.7,51,,0.72
2005/06,San Antonio,Texas,San Antonio Spurs,186,2002,18418,122,11.7,67,,0.768
2006/07,San Antonio,Texas,San Antonio Spurs,186,2002,18418,131,15.5,69,,0.707
2007/08,San Antonio,Texas,San Antonio Spurs,186,2002,18418,138,19,74,,0.683
2008/09,San Antonio,Texas,San Antonio Spurs,186,2002,18418,133,19.1,72,,0.659
2009/10,San Antonio,Texas,San Antonio Spurs,186,2002,18418,135,-4.7,84,,0.61
2010/11,San Antonio,Texas,San Antonio Spurs,186,2002,18418,139,14.4,74,51,0.744
2011/12,San Antonio,Texas,San Antonio Spurs,186,2002,18418,135,14.7,65,48,0.758
2012/13,San Antonio,Texas,San Antonio Spurs,186,2002,18418,167,39.4,77,63,0.707
2013/14,San Antonio,Texas,San Antonio Spurs,186,2002,18418,172,40.9,71,66,0.756
2014/15,San Antonio,Texas,San Antonio Spurs,186,2002,18418,170,31.9,76,59,0.671
2015/16,San Antonio,Texas,San Antonio Spurs,186,2002,18418,187,18.4,98,62,0.817
2016/17,San Antonio,Texas,San Antonio Spurs,186,2002,18418,259,59,123,78,0.744
2017/18,San Antonio,Texas,San Antonio Spurs,186,2002,18418,262,63,126,73,0.573
2018/19,San Antonio,Texas,San Antonio Spurs,186,2002,18418,285,66,142,76,0.585
2019/20,San Antonio,Texas,San Antonio Spurs,186,2002,18418,255,63,115,55,0.451
2020/21,San Antonio,Texas,San Antonio Spurs,186,2002,18418,205,39,81,3,0.458
2021/22,San Antonio,Texas,San Antonio Spurs,186,2002,18418,306,99,118,69,0.415
2022/23,San Antonio,Texas,San Antonio Spurs,186,2002,18418,319,79,110,73,0.268
2001/02,Toronto,Canada,Toronto Raptors,288,1999,19800,87,4.5,53,,0.512
2002/03,Toronto,Canada,Toronto Raptors,288,1999,19800,96,10.6,58,,0.293
2003/04,Toronto,Canada,Toronto Raptors,288,1999,19800,100,-1.3,59,,0.402
2004/05,Toronto,Canada,Toronto Raptors,288,1999,19800,94,5.4,65,,0.402
2005/06,Toronto,Canada,Toronto Raptors,288,1999,19800,105,8.4,68,,0.329
2006/07,Toronto,Canada,Toronto Raptors,288,1999,19800,124,28.8,57,,0.573
2007/08,Toronto,Canada,Toronto Raptors,288,1999,19800,138,27.7,70,,0.5
2008/09,Toronto,Canada,Toronto Raptors,288,1999,19800,133,18,78,,0.402
2009/10,Toronto,Canada,Toronto Raptors,288,1999,19800,138,25.3,72,,0.488
2010/11,Toronto,Canada,Toronto Raptors,288,1999,19800,134,7.4,75,40,0.268
2011/12,Toronto,Canada,Toronto Raptors,288,1999,19800,121,18.8,49,31,0.348
2012/13,Toronto,Canada,Toronto Raptors,288,1999,19800,149,28.8,73,41,0.415
2013/14,Toronto,Canada,Toronto Raptors,288,1999,19800,151,17.9,81,47,0.585
2014/15,Toronto,Canada,Toronto Raptors,288,1999,19800,163,23.5,87,48,0.598
2015/16,Toronto,Canada,Toronto Raptors,288,1999,19800,193,46.1,83,57,0.683
2016/17,Toronto,Canada,Toronto Raptors,288,1999,19800,250,51,121,65,0.622
2017/18,Toronto,Canada,Toronto Raptors,288,1999,19800,275,76,127,74,0.72
2018/19,Toronto,Canada,Toronto Raptors,288,1999,19800,334,79,146,101,0.707
2019/20,Toronto,Canada,Toronto Raptors,288,1999,19800,264,79,115,57,0.736
2020/21,Toronto,Canada,Toronto Raptors,288,1999,19800,194,2.1,108,1,0.375
2021/22,Toronto,Canada,Toronto Raptors,288,1999,19800,299,86,137,55,0.585
2022/23,Toronto,Canada,Toronto Raptors,288,1999,19800,305,75,156,82,0.5
2001/02,Salt Lake City,Utah,Utah Jazz,93,1991,18306,87,1.9,54,,0.537
2002/03,Salt Lake City,Utah,Utah Jazz,93,1991,18306,85,13.8,53,,0.573
2003/04,Salt Lake City,Utah,Utah Jazz,93,1991,18306,88,9.4,38,,0.512
2004/05,Salt Lake City,Utah,Utah Jazz,93,1991,18306,91,27.5,47,,0.317
2005/06,Salt Lake City,Utah,Utah Jazz,93,1991,18306,96,1.4,61,,0.5
2006/07,Salt Lake City,Utah,Utah Jazz,93,1991,18306,114,5.7,66,,0.622
2007/08,Salt Lake City,Utah,Utah Jazz,93,1991,18306,119,8.8,69,,0.659
2008/09,Salt Lake City,Utah,Utah Jazz,93,1991,18306,118,7.9,70,,0.585
2009/10,Salt Lake City,Utah,Utah Jazz,93,1991,18306,121,-3.9,76,,0.646
2010/11,Salt Lake City,Utah,Utah Jazz,93,1991,18306,120,-16.4,80,37,0.476
2011/12,Salt Lake City,Utah,Utah Jazz,93,1991,18306,111,12.1,54,31,0.545
2012/13,Salt Lake City,Utah,Utah Jazz,93,1991,18306,131,17.5,74,36,0.524
2013/14,Salt Lake City,Utah,Utah Jazz,93,1991,18306,142,32.7,64,36,0.305
2014/15,Salt Lake City,Utah,Utah Jazz,93,1991,18306,146,27.5,67,36,0.463
2015/16,Salt Lake City,Utah,Utah Jazz,93,1991,18306,164,36,74,37,0.488
2016/17,Salt Lake City,Utah,Utah Jazz,93,1991,18306,221,61,95,43,0.622
2017/18,Salt Lake City,Utah,Utah Jazz,93,1991,18306,243,59,120,57,0.585
2018/19,Salt Lake City,Utah,Utah Jazz,93,1991,18306,258,63,129,58,0.61
2019/20,Salt Lake City,Utah,Utah Jazz,93,1991,18306,226,42,116,46,0.611
2020/21,Salt Lake City,Utah,Utah Jazz,93,1991,18306,262,96,91,18,0.722
2021/22,Salt Lake City,Utah,Utah Jazz,93,1991,18306,308,58,151,68,0.598
2022/23,Salt Lake City,Utah,Utah Jazz,93,1991,18306,274,46,154,65,0.451
2001/02,Washington DC,Washington DC,Washington Wizards,260,1997,20356,99,12.7,53,,0.451
